"Date","Price","Open","High","Low","Vol.","Change %"
"03/06/2024","5,104.76","5,108.03","5,127.97","5,092.22","","0.51%"
"03/05/2024","5,078.65","5,110.52","5,114.54","5,056.82","","-1.02%"
"03/04/2024","5,130.95","5,130.99","5,149.67","5,127.18","","-0.12%"
"03/01/2024","5,137.09","5,098.51","5,140.33","5,094.16","","0.80%"
"02/29/2024","5,096.27","5,085.36","5,104.99","5,061.89","","0.52%"
"02/28/2024","5,069.76","5,067.20","5,077.37","5,058.35","","-0.17%"
"02/27/2024","5,078.20","5,074.60","5,080.69","5,057.29","","0.17%"
"02/26/2024","5,069.53","5,093.00","5,097.66","5,068.91","","-0.38%"
"02/23/2024","5,088.80","5,100.92","5,111.06","5,081.46","","0.03%"
"02/22/2024","5,087.03","5,038.83","5,094.39","5,038.83","","2.11%"
"02/21/2024","4,981.80","4,963.03","4,983.21","4,946.00","","0.13%"
"02/20/2024","4,975.51","4,989.32","4,993.71","4,955.02","","-0.60%"
"02/16/2024","5,005.57","5,031.13","5,038.70","4,999.52","","-0.48%"
"02/15/2024","5,029.73","5,003.14","5,032.72","4,999.44","","0.58%"
"02/14/2024","5,000.62","4,976.44","5,002.52","4,956.45","","0.96%"
"02/13/2024","4,953.17","4,967.94","4,971.30","4,920.31","","-1.37%"
"02/12/2024","5,021.84","5,026.83","5,048.39","5,016.83","","-0.09%"
"02/09/2024","5,026.61","5,004.17","5,030.06","5,000.34","","0.57%"
"02/08/2024","4,997.91","4,995.16","5,000.40","4,987.09","","0.06%"
"02/07/2024","4,995.06","4,973.05","4,999.89","4,969.05","","0.82%"
"02/06/2024","4,954.23","4,950.16","4,957.77","4,934.88","","0.23%"
"02/05/2024","4,942.81","4,957.19","4,957.19","4,918.09","","-0.32%"