Company,EIN
New York City Ballet,132947386
San Francisco Ballet,941415298
American Ballet Theatre,131882106
Alvin Ailey American Dance Theatre,132584273
Boston Ballet,042312734
Houston Ballet,741394920
Pacific Northwest Ballet,910897129
Joffrey Ballet,364009741
Miami City Ballet,592578534
Philadephia Ballet,231629970
The Washington Ballet,520846173
Ballet West,870264274
Pittsburgh Ballet Theatre,237101094
Atlanta Ballet,581047778
Cincinnati Ballet,316050354
Colorado Ballet,846038137
Kansas City Ballet,436052680
Ballet Hispánico,132685755
Ballet Arizona,860367773
Charlotte Ballet,581314711
Ballet Austin,746060386
Texas Ballet Theater,841622654
Oregon Ballet Theatre,931009305
The Sarasota Ballet,650135900
Nashville Ballet,581440788
Tulsa Ballet,730667485
Orlando Ballet,237427817
Milwaukee Ballet,391134735
BalletMet,310858562
Carolina Ballet,561445383
Dance Theatre of Harlem,132642091
Alonzo King LINES Ballet,942933309
Richmond Ballet,546049848
Nevada Ballet Theatre,942427112
Oklahoma City Ballet,237003520
Louisville Ballet,616033779
Los Angeles Ballet,201819852
American Repertory Ballet,210732575
LA Dance Project,454887427
Dallas Black Dance Theatre,751756215
Ballet Memphis,621018942
Smuin Ballet,943197247
Collage Dance Collective,205888512
Grand Rapids Ballet,382026127
BalletX,311784286
Eugene Ballet,930765746
Sacramento Ballet,941674349
The Alabama Ballet,630813626
Ballet Idaho,820301511
Post:ballet,942711919
Aspen Santa Fe Ballet,841150857
Newport Contemporary Ballet (Island Moving Company,222587551
Cleveland Ballet,383945001
State Street Ballet,860717486
Ballet Magnificat!,640732185
New Ballet,811657501
New Jersey Ballet Company,237447316
Madison Ballet,391387619
Jose Mateo Ballet Theatre,042773619
American Midwest Ballet,271093011
Wonderbound,841223229
Indianapolis Ballet,342066059
Fort Wayne Ballet,356006394
Ballet Rhode Island (Festival Ballet Providence,050377245
Les Ballets Trockadero de Monte Carlo,132813806
PHILADANCO!,237161084
Saint Louis Ballet,237424849
Boulder Ballet,203447830
Ballet 5:8,455395602
Peninsula Ballet Theatre,946137593
Columbia City Ballet,237133145
Diablo Ballet,943185291
Manassas Ballet Theatre,541244590
Mystic Ballet,061478674
Maine State Ballet,010420070
Brooklyn Ballet,020569320
The Florida Ballet,591837297
Charlottesville Ballet,900545068
City Ballet of San Diego,330574291
Ballet Des Moines,943417247
Ballet Virginia,262443093
Ballet Sun Valley,813872831
Ballet San Antonio,742371103
Ballet Theatre of Maryland,521151372
The Tallahassee Ballet,237273533
Ballet Tucson,860557264
Huntsville Ballet,630505056
Oakland Ballet Company,943395450
City Ballet of Boston,824650392
Rochester City Ballet,161328541
Canyon Concert Ballet,840776736
Utah Metropolitan Ballet,942952809
First State Ballet Theatre,510394850
Eglevsky Ballet,112044178
San Diego Ballet,330461414
Ballet Fantastique,412168110
The Minnesota Ballet,416055588
Arts Ballet Theatre of Florida,650804935
Chattanooga Ballet,237247009
The Georgia Ballet,581420599
American Contemporary Ballet,134280268
Ballet Pensacola,591834099
Ballet Palm Beach,820569013
Ohio Contemporary Ballet (Verb Ballets),341645238
New Mexico Ballet Company,237247909
Central West Ballet,770154765
Moveius Contemporary Ballet,462580700
Marigny Opera Ballet,454231295
Syracuse City Ballet,161530816
James Sewell Ballet,411787932
Ballethnic Dance Company,581891235
Ballet Arkansas,710508968
Chamber Dance Project,134109515
Anaheim Ballet,953645705
Winston-Salem Festival Ballet,264256235
Dance Aspen,862924498
Portland Ballet,010372997
Connecticut Ballet,061039302
Ballet Quad Cities,421366753
BalletCollective,453021279
Armitage Gone! Dance,133307859
Dissonance Dance Theatre,454864757
Ballet Vero Beach,461513558
Dimensions Dance Theater of Miami,813414271
The Roxey Ballet Company,223466604
Avant Chamber Ballet,455088306
Missouri Contemporary Ballet,431756712
The Charleston Ballet,550397803
Ballet North Texas,823306346
ARC Dance Company,911976719
New York Dance Project,815005060
Cuban Classical Ballet of Miami,205713495
Texture Contemporary Ballet,274932963
Columbia Classical Ballet,570943743
The Rosin Box Project,844735639
New York Theatre Ballet,133235682
Lexington Ballet Company,510161971
Greensboro Ballet,566075580
Delta Festival Ballet,237057459
Ajkun Ballet Theatre,134159687
Sierra Nevada Ballet,880491536
Kentucky Ballet Theatre,611329176
Ballet Frontier,270524329
Albany Berkshire Ballet,046193015
Carolina Ballet Theatre,237282935
Central Illinois Ballet,454443676
United Ballet Theatre,821816691
Ballet des Ameriques,452960043
Atlantic City Ballet,222411345
Twin Cities Ballet,371123532
Gwinnett Ballet Theatre,581336559
Luminario Ballet,263625948
Ballet Texas,831794121
Ballet Minnesota,411703583
Paradosi Ballet Company,260868264
Tampa City Ballet,260835490
Ballet Hartford,813230414
MorDance,471758099
Terpsicorps Theatre of Dance,542124670
North Atlantic Ballet Theatre,862364624
South Dakota Ballet,841805666
Savannah Ballet Theatre,582415464
Brandon Ballet,593215839
Ballet Misha,263955983
NWA Ballet Theatre,460742535
Menlowe Ballet,452461068
East Coast Contemporary Ballet,834702183
New Chamber Ballet,822750241
Lemon Sponge Cake Contemporary Ballet,522444709
Providence Ballet Theatre,050513793
ChamberDance,943291532
Catskill Ballet Theatre,222354624
Golden State Ballet,870841342
New Orleans Ballet Theatre,030498652
Ballet Theatre Company,061537525
Magnum Opus Ballet,820931332
Arch Ballet,832034220
PDX Contemporary Ballet,383980587
Ballet Next,453508749
Deos Contemporary Ballet,881773617
ballet22,881045747
Fargo Moorhead Ballet,911768520
Complexions Contemporary Ballet,831570722
Montgomery Ballet,636056687
Dayton Ballet* (Dayton Performing Arts Alliance),316000101
Asheville Ballet,561121833